time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010448650000	19.9005	14.7796	4.94775	1.96207	0.701472	radar	0	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.8732	0.544754	0.200921	0.132516	0.93594	0.341343
1477010448700000	19.8371	15.2328	4.88446	1.94931	0.581278	lidar	2.67528	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.90044	0.545663	0.200092	0.132172	0.932152	0.339856
1477010448750000	19.8371	15.2328	4.88446	1.94931	0.581278	radar	0	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	1.92772	0.546486	0.199578	0.132261	0.928199	0.338405
1477010448800000	19.7554	15.6508	4.76851	1.94852	0.497712	lidar	2.42438	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	1.95504	0.547223	0.199101	0.131782	0.924232	0.336962
1477010448850000	19.7554	15.6508	4.76851	1.94852	0.497712	radar	0	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.98241	0.547873	0.199339	0.132147	0.92043	0.335543
1477010448900000	19.5254	16.0588	4.74728	2.02918	0.543454	lidar	0.381723	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	2.0098	0.548437	0.19869	0.131603	0.916571	0.334231
1477010448950000	19.5254	16.0588	4.74728	2.02918	0.543454	radar	0	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	2.03722	0.548915	0.198698	0.132271	0.912759	0.332848
1477010449000000	19.2668	16.4074	4.65807	2.12084	0.599911	lidar	1.32128	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	2.06467	0.549305	0.197932	0.131837	0.909095	0.332287
1477010449050000	19.2668	16.4074	4.65807	2.12084	0.599911	radar	0	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	2.09213	0.549609	0.19771	0.133556	0.90537	0.331378
1477010449100000	19.0108	16.8092	4.68188	2.17809	0.595334	lidar	0.060111	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	2.11961	0.549826	0.19693	0.133183	0.901809	0.330801
1477010449150000	19.0108	16.8092	4.68188	2.17809	0.595334	radar	0	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	2.1471	0.549957	0.19668	0.134973	0.898179	0.32986
1477010449200000	18.6966	17.2442	4.81083	2.23923	0.594375	lidar	1.66078	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.1746	0.55	0.195898	0.134486	0.894873	0.328914
1477010449250000	18.6966	17.2442	4.81083	2.23923	0.594375	radar	0	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	2.2021	0.549957	0.195418	0.135619	0.891413	0.327726
1477010449300000	18.27	17.573	4.87467	2.37322	0.701501	lidar	2.18563	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	2.2296	0.549826	0.195171	0.135381	0.889318	0.328434
1477010449350000	18.27	17.573	4.87467	2.37322	0.701501	radar	0	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.25709	0.549609	0.194409	0.137246	0.886783	0.328415
1477010449400000	18.0365	17.9717	4.83189	2.35328	0.571406	lidar	2.79552	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	2.28457	0.549305	0.193817	0.136866	0.883644	0.327625
1477010449450000	18.0365	17.9717	4.83189	2.35328	0.571406	radar	0	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.31204	0.548915	0.193166	0.138131	0.880357	0.326519
1477010449500000	17.764	18.2873	4.71657	2.38127	0.532074	lidar	1.57185	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	2.33948	0.548437	0.192457	0.137951	0.877018	0.325746
1477010449550000	17.764	18.2873	4.71657	2.38127	0.532074	radar	0	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	2.3669	0.547873	0.192064	0.139609	0.87369	0.32465
1477010449600000	17.4106	18.6374	4.76883	2.42148	0.512021	lidar	0.337031	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	2.3943	0.547223	0.191387	0.139342	0.870415	0.323595
1477010449650000	17.4106	18.6374	4.76883	2.42148	0.512021	radar	0	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	2.42166	0.546486	0.191	0.140609	0.867165	0.322391
