time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010446800000	18.2729	6.60694	4.99159	0.988377	0.462699	lidar	0.403932	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.0545995	0.101818	0.731311	0.491194
1477010446850000	18.4033	6.82362	4.99174	1.01748	0.473753	radar	0.194725	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.054351	0.104192	0.726988	0.488659
1477010446900000	18.5551	6.95467	4.90524	1.00637	0.431147	lidar	2.38982	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.0540395	0.104867	0.722482	0.485597
1477010446950000	18.7056	7.15979	4.93534	1.01139	0.397543	radar	0.704188	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.0537007	0.105505	0.717955	0.482569
1477010447000000	18.9078	7.29142	4.88368	0.980607	0.333892	lidar	4.1507	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	0.0539633	0.105141	0.713787	0.479853
1477010447050000	18.9929	7.49884	4.81975	1.02898	0.395507	radar	4.07937	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	0.0537533	0.104752	0.709441	0.477128
1477010447100000	19.0823	7.76137	4.87011	1.07744	0.431422	lidar	1.0836	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	0.0534292	0.104872	0.705161	0.47425
1477010447150000	19.2038	7.96828	4.87051	1.09038	0.416085	radar	0.318443	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.0531212	0.104865	0.700955	0.47144
1477010447200000	19.2828	8.18345	4.8503	1.12225	0.430463	lidar	1.35597	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	0.0528522	0.104811	0.696822	0.468677
1477010447250000	19.3828	8.39365	4.85083	1.13535	0.409278	radar	2.29631	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	0.0526049	0.104638	0.692768	0.465983
1477010447300000	19.48	8.53955	4.74907	1.13648	0.387069	lidar	3.96717	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	0.0523661	0.104041	0.688849	0.463745
1477010447350000	19.5703	8.7493	4.72706	1.16139	0.401341	radar	0.576063	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.0521435	0.10345	0.684991	0.461611
1477010447400000	19.7357	8.91901	4.69798	1.14031	0.350452	lidar	4.17217	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	0.0521452	0.10309	0.681788	0.460178
1477010447450000	19.8071	9.14239	4.67848	1.17907	0.391698	radar	1.0417	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0.0520486	0.102785	0.678396	0.45864
1477010447500000	19.9389	9.36555	4.70754	1.18234	0.3708	lidar	2.97692	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	0.0527929	0.102555	0.675577	0.457138
1477010447550000	19.9807	9.59131	4.66677	1.23616	0.43938	radar	2.65225	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	0.0530312	0.102395	0.672231	0.45553
1477010447600000	20.0678	9.82986	4.69663	1.25691	0.437335	lidar	0.746966	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.0536583	0.102205	0.66907	0.453764
1477010447650000	20.1286	10.0784	4.7392	1.2817	0.430216	radar	7.16399	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	0.0543266	0.10192	0.666047	0.451775
1477010447700000	20.175	10.3506	4.79595	1.32043	0.4503	lidar	0.865541	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	0.0548812	0.101448	0.662917	0.449533
1477010447750000	20.1881	10.5899	4.77303	1.37473	0.509059	radar	2.73608	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	0.0549485	0.100981	0.659511	0.447291
1477010447800000	20.246	10.861	4.82992	1.40103	0.508616	lidar	2.01942	20.371	11.0109	20.1663	10.864	0.722256	4.7934	0.0552594	0.100459	0.656172	0.444992
1477010447850000	20.2755	11.1175	4.86136	1.4278	0.501039	radar	4.89577	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	0.0555119	0.0999545	0.652886	0.442716
1477010447900000	20.3096	11.3551	4.85728	1.45121	0.499193	lidar	0.00584902	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.0558644	0.0994537	0.649669	0.440474
1477010447950000	20.2503	11.608	4.83019	1.53965	0.618365	radar	9.97786	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	0.0555856	0.0989796	0.646711	0.438267
1477010448000000	20.323	11.8456	4.83196	1.54117	0.583158	lidar	5.05862	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	0.0556548	0.0985048	0.643547	0.436092
1477010448050000	20.3527	12.0789	4.84265	1.53601	0.504998	radar	4.02381	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	0.0560028	0.0980254	0.640428	0.433949
1477010448100000	20.339	12.3643	4.90737	1.57335	0.516917	lidar	1.05257	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	0.0561423	0.097691	0.637315	0.431905
1477010448150000	20.2866	12.6046	4.88251	1.63823	0.596223	radar	2.87489	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	0.055911	0.0973557	0.634456	0.429849
1477010448200000	20.3124	12.8423	4.87202	1.64867	0.573834	lidar	2.01026	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	0.0559357	0.0970089	0.631488	0.427816
1477010448250000	20.3004	13.0744	4.85465	1.67371	0.572358	radar	2.11169	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	0.0560182	0.0966304	0.628552	0.4258
1477010448300000	20.265	13.287	4.81312	1.70393	0.575721	lidar	1.01311	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	0.0559885	0.0961863	0.625673	0.423809
1477010448350000	20.2271	13.5224	4.81431	1.72709	0.557753	radar	1.33093	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	0.0558994	0.0957444	0.622813	0.421845
1477010448400000	20.2074	13.7798	4.84066	1.74678	0.547274	lidar	1.35606	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0.0559631	0.0953442	0.619966	0.419909
1477010448450000	20.1511	14.0078	4.82538	1.78441	0.570258	radar	0.791152	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.0559069	0.0949291	0.617208	0.417996
1477010448500000	20.096	14.2619	4.85445	1.81302	0.5694	lidar	0.343934	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.0558105	0.0945714	0.614509	0.416112
1477010448550000	20.0243	14.4914	4.85134	1.84321	0.567175	radar	1.36201	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	0.0556241	0.0942031	0.611872	0.414251
1477010448600000	19.9154	14.7449	4.89717	1.88691	0.583416	lidar	1.1052	19.781	14.773	19.934	14.6897	-1.30687	4.62805	0.0554048	0.0939294	0.609496	0.412422
1477010448650000	19.8499	14.9637	4.87673	1.89967	0.544788	radar	3.43326	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	0.0551806	0.0936055	0.606965	0.410616
1477010448700000	19.8212	15.1812	4.83608	1.90692	0.523236	lidar	2.25721	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	0.0550132	0.093247	0.604331	0.408831
1477010448750000	19.6862	15.3903	4.81862	1.99374	0.664024	radar	7.57976	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	0.0548196	0.0928552	0.602361	0.407189
1477010448800000	19.6573	15.578	4.73718	2.00109	0.636937	lidar	3.80174	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	0.0546777	0.0924777	0.6	0.405677
1477010448850000	19.5649	15.7837	4.72143	2.02474	0.618675	radar	1.41024	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	0.0545411	0.0921467	0.597609	0.404218
1477010448900000	19.4608	15.9964	4.7233	2.05441	0.617154	lidar	0.0199283	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.0543814	0.0918419	0.595262	0.402801
1477010448950000	19.3608	16.2054	4.71949	2.06482	0.566148	radar	1.92388	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	0.0542492	0.09157	0.59282	0.401304
